baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
LTR:ERV1:RLTR24:RLTR24_copy145	45.5925851427734	-8.86113294465338	1.68496797750468	-5.25893255121447	1.44894018938396e-07	0.000741531365421978
LTR:ERVK:RMER17B:RMER17B_copy554	18.2652540200851	-6.95958463341765	1.49562574410892	-4.65329288482134	3.26675717242303e-06	0.00445825240511146
LTR:ERVK:RMER17C2:RMER17C2_copy3137	6.8413274403685	-6.12246663392334	1.77037614522627	-3.45828577188654	0.000543624419251014	0.0870523344325999
LINE:L1:Lx8:Lx8_copy26922	9.07543770029645	-5.9187132291774	1.6852530192573	-3.51206208298965	0.000444644117091269	0.079844822113819
LTR:ERVL-MaLR:ORR1A4:ORR1A4_copy6770	7.35054449142415	-6.23183560018721	1.83870915217496	-3.38924489107794	0.000700853884935186	0.0942086483393473
LTR:ERVL-MaLR:MTD:MTD_copy35403	9.27741111800712	-5.94478028870137	1.65304399722474	-3.59626259112397	0.000322821933295637	0.0654305722425245
LTR:ERVL-MaLR:ORR1A3-int:ORR1A3-int_copy1841	10.2594898897727	-5.41265623267774	1.6188531568134	-3.34351278860412	0.000827248810370842	0.0984570371924506
LTR:ERVL:RMER15:RMER15_copy1203	6.59197119410362	-6.06995265567715	1.80047598673924	-3.37130442193243	0.000748131379272378	0.0957187341567803
LTR:ERVL-MaLR:ORR1B1-int:ORR1B1-int_copy18053	8.6839801936494	-6.47041225349705	1.93110864245593	-3.35062052504107	0.000806307126204811	0.0978745631728184
SINE:B2:B2_Mm1t:B2_Mm1t_copy5248	6.76966200622301	-6.1087857584852	1.78152677867552	-3.4289609516994	0.00060589669317125	0.090970370624218
SINE:B4:B4:B4_copy30420	17.1087514027646	5.01719579062495	1.49838549076033	3.34840121021131	0.000812792523051103	0.0978745631728184
Rad51d:NM_001277938.1:exon_9,Rad51d:NM_001277939.1:exon_9,Rad51d:NM_001277941.1:exon_8,Rad51d:NM_001277942.1:exon_7,Rad51d:NM_011235.4:exon_9,Rad51d:NR_102717.1:exon_8,Rad51d:NR_102718.1:exon_9,Rad51d:NR_102719.1:exon_8,Rad51d:NR_102720.1:exon_8	6.77258191803107	-6.10726296990567	1.76615483777266	-3.4579431198726	0.000544316291699125	0.0870523344325999
Rsph1:NM_001364916.1:exon_1,Rsph1:NM_025290.4:exon_1	8.45632728744505	-6.43206708122677	1.6982663567233	-3.78743125644733	0.000152212778761057	0.0448241884217401
Rnf145:NM_001166553.1:exon_1,Rnf145:NM_001363166.1:exon_1,Rnf145:NM_028862.4:exon_1	6.61042565209973	-6.07450043151513	1.76875546397909	-3.43433592445255	0.000594007558837087	0.0900735461996593
Rnf121:NM_001360748.1:exon_8,Rnf121:NM_029211.3:exon_8	11.0086125238365	-6.22723699448024	1.82603134525802	-3.41025744747023	0.000649015840342899	0.0942086483393473
Ppp6r1:NM_172894.2:exon_22	6.29235578824337	-6.00390132087232	1.80130549133484	-3.33308333858639	0.000858892111064321	0.0990414847781121
Plekhg2:NM_001083912.1:exon_0,Plekhg2:NM_001290542.1:exon_0,Plekhg2:NM_138752.2:exon_0	9.10969807913295	-6.53184071085451	1.73502755369433	-3.76468990186727	0.000166755897093191	0.0460273566721254
Prss46:NM_183103.2:exon_2	7.07383851188414	-6.16942515983265	1.77959517439435	-3.46675763600691	0.00052677663611795	0.08631463275309
Myo15:NM_001103171.1:exon_1,Myo15:NM_010862.2:exon_1	9.54080635007578	-6.60276647746573	1.66821796024596	-3.95797589692189	7.55875830558111e-05	0.030431174209539
Mtmr4:NM_001357901.1:exon_14,Mtmr4:NM_133215.2:exon_15	14.0591648924141	-7.16012788218964	1.61499891594086	-4.43351869249913	9.27074655364205e-06	0.00964076747155324
Mapk14:NM_001168508.1:exon_11,Mapk14:NM_001168513.1:exon_11,Mapk14:NM_001168514.1:exon_12,Mapk14:NM_001357724.1:exon_11,Mapk14:NM_011951.3:exon_11	10.8761813170664	-6.79446902819588	1.69569156541422	-4.00690147122136	6.15205116079811e-05	0.030431174209539
Magea14:NM_028851.1:exon_0	9.2758438486786	-6.56239220202374	1.93335690411227	-3.39429941159103	0.000688044233070347	0.0942086483393473
Lzic:NM_026963.6:exon_0	6.76337091881546	-6.10809223460349	1.79799986016387	-3.39715946031653	0.00068089276989226	0.0942086483393473
Ikbip:NM_026166.2:exon_0,Ikbip:NM_027078.2:exon_0	12.1508393692563	7.14221650597597	2.09983934344985	3.40131569029559	0.000670623336154461	0.0942086483393473
Pcgf1:NM_197992.1:exon_8	14.0132290929178	-7.156735644358	1.61980181027498	-4.41827858134266	9.94901324470793e-06	0.00969839286344839
Pcbp4:NM_021567.5:exon_12	8.71032164484475	-6.47579873607212	1.74771749382204	-3.70528918945038	0.000211149684293304	0.0502609905484678
Pi4ka:NM_001001983.2:exon_30,Pi4ka:NM_001373955.1:exon_30	10.2238003528936	-6.70186086766826	1.68778178751197	-3.97081004028831	7.16286752148651e-05	0.030431174209539
Nrarp:NM_025980.2:exon_0	20.4047934875842	-7.70135807129684	1.63527698549511	-4.70951290797082	2.48309489160069e-06	0.00408916520735016
Dcp2:NM_027490.1:exon_0	13.2260041317315	7.26472932042052	2.12837113447615	3.41328126600842	0.000641856603726143	0.093853189534842
Tmem214:NM_144525.4:exon_0	10.713223988058	-6.77092811095561	1.64535857576814	-4.1151686998043	3.868963401885e-05	0.0247504843124962
Tmem191c:NM_177473.3:exon_1	12.3605954172539	-6.97395943136442	1.74931836125973	-3.98667251531178	6.7006411423784e-05	0.030431174209539
Dek:NM_025900.2:exon_10	83.257136820487	4.4567628361927	1.12428452561005	3.9640880352546	7.3677061332012e-05	0.030431174209539
Supt6:NM_009297.2:exon_32	6.39603752934187	-6.02733022224148	1.77592122405162	-3.39391755704717	0.000689004313968153	0.0942086483393473
Tgfb2:NM_001329107.1:exon_7,Tgfb2:NM_009367.4:exon_6	8.91813206990929	-6.50504517213252	1.67374013974931	-3.88653233416918	0.000101686387492477	0.0359498683146456
Tesmin:NM_001039657.2:exon_8,Tesmin:NM_001286557.1:exon_9,Tesmin:NM_001286558.1:exon_8	9.89792462354166	-6.65389420654026	1.70174189122002	-3.91004901558246	9.22773942991981e-05	0.0343456461581615
Tbc1d17:NM_001042655.1:exon_11	6.78137922370947	-6.10737953460625	1.79298787650091	-3.40625813183134	0.000658598773088355	0.0942086483393473
Tent5c:NM_001142952.1:exon_1	10.6389840061562	-6.76012628097125	1.7076649976006	-3.95869581590637	7.53601418995508e-05	0.030431174209539
Arhgef1:NM_001130150.1:exon_30,Arhgef1:NM_001130151.1:exon_29,Arhgef1:NM_001130152.1:exon_28,Arhgef1:NM_001130153.1:exon_28,Arhgef1:NM_008488.2:exon_28	33.0748099110344	8.58299672386554	1.72014730642114	4.9896870412354	6.04771915172999e-07	0.00206338097925108
Ubtd2:NM_001361561.1:exon_0,Ubtd2:NM_173784.4:exon_0	9.39974588588	-5.96286241499936	1.63097584273251	-3.65600903383663	0.000256172330605473	0.0552010924192067
Safb2:NM_001029979.3:exon_0,Safb2:NM_001355463.1:exon_0	34.478556737745	6.09207214001526	1.72726607609808	3.52700271505206	0.0004202924535457	0.0783047887351709
