baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Aminipila terrae	879.741267380804	-1.09393246498208	0.262936896992877	-4.16043726648114	3.17638859756909e-05	0.00158466497812058
Anaerocolumna sedimenticola	16318.2424348176	1.09799347180513	0.338419339927032	3.24447613437776	0.00117666877211149	0.0203201645645408
Anaerocolumna sp. AGMB13020	128.744313794771	2.39842769789704	0.67904911268994	3.5320386303077	0.000412369110391661	0.011572108160366
Anaerocolumna sp. MB42-C2	4915.50071123695	1.52444171858911	0.4535093121506	3.36143421479045	0.000775388246937227	0.016578539184515
Anaerostipes hadrus	16286.808766103	2.11383921382673	0.606518852698259	3.48519951922806	0.000491770205690963	0.0129885189620731
Anaerostipes sp. PC18	2375.16699352815	-1.27954844516524	0.379927548401208	-3.36787487653835	0.000757499659252676	0.016578539184515
Blautia argi	3674.43762440082	-1.10294197543675	0.348596492647418	-3.16395029410781	0.00155643374800191	0.0232946250950953
Blautia hansenii	47.2328362641739	-9.13955080176802	1.14239825245185	-8.00031931259739	1.24096972485549e-15	5.57195406460113e-13
Blautia liquoris	24770.3528796491	-2.92010050433449	0.819465706382986	-3.56342002061737	0.000366054260152207	0.0109572241872227
Candidatus Planktophila vernalis	77.1019700745594	2.72474438333004	0.907085560140293	3.00384495472359	0.00266591143700346	0.0352057128004281
Coprococcus eutactus	7280.55993977405	-2.55529963943567	0.627238029823384	-4.07389143823945	4.62340397037318e-05	0.00207590838269756
Desulfovibrio fairfieldensis	98.7768442387833	3.13827507837811	0.613781808938613	5.11301415694447	3.17058526424331e-07	4.74530927881749e-05
Ethanoligenens harbinense	3809.51773265741	-1.24119606626899	0.482108227318264	-2.57451749615053	0.0100380009511699	0.0983400391549016
Geosporobacter ferrireducens	39.9580950239883	1.2728881554054	0.482095662664222	2.64032276990628	0.00828271014813916	0.090287704942375
Halosquirtibacter xylanolyticus	116.788998968607	-1.02586220182321	0.371219351340727	-2.76349333114806	0.00571862609247038	0.0675700819873474
Lachnoclostridium phytofermentans	1781.34030768219	2.59280146232639	0.597824337585917	4.33706240999893	1.44399633548779e-05	0.0011788023380077
Lacrimispora sp. BS-2	5263.52142755858	2.51605495102687	0.698893711366312	3.60005378515722	0.000318151364204152	0.0109220103120519
Lactobacillus acidophilus	611.211836803823	1.7664234826824	0.553113019676836	3.19360315133146	0.00140509128806211	0.022336369110016
Lactobacillus crispatus	3166.6115764195	1.79366450084832	0.569868466386957	3.14750614684893	0.00164669643683184	0.0238505387141128
Lactobacillus gasseri	294210.843813166	1.75908707038865	0.651096495873189	2.70173020671771	0.00689797098008865	0.0774297242514951
Lactobacillus helveticus	898.904129448688	1.55920745240418	0.57498151773531	2.71175229865728	0.00669285857453857	0.0770536794863543
Lactobacillus johnsonii	10016.1015149151	1.72190560891559	0.62210590801777	2.76786570698571	0.0056424700707788	0.0675700819873474
Lactobacillus kefiranofaciens	676.057549555641	1.83123092317972	0.639048747904038	2.8655574855374	0.00416275685908358	0.0519188286035702
Lactobacillus paragasseri	29842.0827857967	1.62843715002914	0.56108928898768	2.90227809011855	0.00370459520287451	0.0475246641740188
Lactobacillus sp. IBH004	1661.24143790192	1.85564733439562	0.569913838208291	3.25601382171988	0.00112988251060699	0.0202926898905015
Lactobacillus sp. JM1	58527.3628959019	1.59143138488402	0.612122588098248	2.59985730934764	0.00932625309204525	0.0951701735983709
