baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Mir99a:NR_029535.1:exon_0	907.250230878884	-2.25967274969225	0.588174470370036	-3.84184092225328	0.000122114973306259	0.0970342042345022
Mir125b-1:NR_029822.1:exon_0	1030.12368901367	-1.61963621455833	0.407156235294594	-3.97792315126026	6.95198312867708e-05	0.0935875968782509
Mir125b-2:NR_029540.1:exon_0	1022.15033265385	-1.54440964803482	0.40018430612053	-3.85924591348083	0.000113737443051774	0.0970342042345022
Mir152:NR_029562.1:exon_0	128.652893446289	-1.67903434131499	0.444618103015323	-3.77635172730949	0.000159142222363492	0.0970342042345022
Mir19b-2:NR_029715.1:exon_0	387.909449801891	-2.10352810791437	0.514552880385319	-4.08806983324855	4.3497722588339e-05	0.0731957926855275
Mir19a:NR_029786.1:exon_0	134.372979772076	-1.82241723261763	0.434971507710496	-4.18973932846788	2.79275090460151e-05	0.0731957926855275
Mir19b-1:NR_029815.1:exon_0	387.090700296231	-2.11430440955108	0.516189273523231	-4.09598672037482	4.20374028308761e-05	0.0731957926855275
Blm:NM_001042527.2:exon_6,Blm:NM_007550.4:exon_6	54.8125403701275	-1.89781564306242	0.508060613374264	-3.73541186445875	0.000187408209040043	0.0970342042345022
Baiap2:NM_001037754.3:exon_13,Baiap2:NM_130862.4:exon_13	57.6834907517118	-1.34989312937443	0.359668772847998	-3.75315632404073	0.000174621882386615	0.0970342042345022
Septin11:NM_001009818.2:exon_9	122.621661494243	-1.45767926071417	0.375683925213545	-3.88006822460024	0.000104427169219875	0.0970342042345022
Scarb1:NM_001205082.1:intron_4,Scarb1:NM_001205083.1:intron_3,Scarb1:NM_016741.2:intron_5	31.5735013838695	1.94950101662237	0.409399420139086	4.76185583252674	1.91820703215032e-06	0.0129114515334038
Zbtb16:NM_001033324.3:intron_2,Zbtb16:NM_001364543.1:intron_2	51.0041702767318	-1.59817734609446	0.422912700607285	-3.77897694677778	0.000157474000486353	0.0970342042345022
mmu-miR-24-2-5p	2380.73613035291	-2.26046813435873	0.602840476839391	-3.74969535259154	0.000177049527883337	0.0970342042345022
