Gen1	Gen2	Gen3	Gen4	Gen5	control1	control2	control3	control4	control5
Acetilactobacillus jinshanensis	228.210552891615	184.149501333743	318.706910651102	278.760379005104	245.452637621891	76.0813170062368	150.770361724472	111.506637509587	149.71729618927	264.939730865505
Acetivibrio clariflavus	68.9056794049473	94.497770421263	80.2418108376888	46.6039023723703	40.0739000199006	111.003888746804	72.0097250027327	86.5137704815765	52.2503315559868	61.2171347833174
Acetivibrio saccincola	12.6432439275133	26.6532172983049	0	27.617127331775	0	0	37.130014454534	19.2252823292392	0	34.1210259447999
Acetivibrio thermocellus	2424.97418529705	1836.64897382865	1186.67466731793	1078.79403639746	422.028259584578	1948.18060924167	707.720578542482	954.535267646727	685.283194638135	790.804954250068
Acetohalobium arabaticum	8.85027074925929	21.8071777895222	0	0	0	28.6863982154663	0	0	15.0722110257654	11.0391554527294
Acinetobacter baumannii	99.8816270273549	122.766334222496	46.3368203428907	88.8926285991508	121.474009435324	149.668164602433	147.394905864968	140.344561003446	107.515105317127	92.327481968282
Acinetobacter pittii	14.5397305166403	12.9227720234206	0	9.49338752029766	16.2800218830846	0	0	0	12.0577688206123	14.0498342125647
Actinomyces israelii	0	246.340341696455	374.085061792606	333.994633668654	0	122.229001091987	216.029175008198	219.168218553327	0	0
Acutalibacter muris	21173.0084432101	25600.8190516476	48373.3801052783	22644.3183415973	11042.8640742339	30619.6120082477	25993.2604220802	31428.5302877238	63017.9191127937	30085.712847034
Adlercreutzia equolifaciens	204.188389429339	75.1136123861321	214.731606467055	92.3447695156227	73.8862531616917	165.882215767697	58.5079015647203	84.5912422486526	182.876160445954	50.1779793305881
Aeromonas caviae	25.9186500514022	57.3448008539288	25.9938260460119	22.4389159570672	33.8123531417911	21.2029899853447	28.1287988291924	26.9153952609349	23.1107235728403	32.1139067715764
Aeromonas salmonicida	18.3327036948942	29.0762370526963	23.7334933463587	25.0280216444211	21.2892593855722	31.1808676255069	40.5054703140371	26.9153952609349	21.1010954360716	24.0854300786823
Aestuariispira ectoiniformans	237.060823640874	625.946769884434	2602.77310365067	3403.81094364127	280.517300139304	3180.4484978017	1248.91866801614	6571.20150013397	1070.12698282935	989.509752399196
Agathobacter rectalis	2101.93930294908	951.43909022434	671.318811797002	752.566719790869	802.730309773633	2136.51304969973	1415.44115708496	1159.28452445312	1662.96728317612	903.203627950585
Agathobaculum sp. NTUH-O15-33	6763.50333902323	3429.38062571524	3473.00119301715	5237.76080551696	4554.64919913682	5319.45601691147	4726.7633552575	6496.22289904993	3443.49781235321	3742.27369847526
Agrococcus carbonis	79.6524367433336	67.844553122958	120.927799431447	94.9338752029766	82.6524187910449	51.1366229058313	67.5091171900619	54.7920546383318	80.385125470749	88.313243621835
Alicyclobacillus sp. ALC3	412.169752036933	445.027961556546	4321.75612173693	542.849159115203	849.065756671643	1162.4227450789	3790.63693022197	1892.7290453136	1951.34892080243	305.082114329975
Alicyclobacillus sp. SO9	1881.31469641398	4014.94373302648	2365.43817018708	2869.59213681725	0	7921.18761158376	2107.4096082831	1977.32028756225	1453.96595695217	619.196264939457
Alistipes communis	16177.0306052532	12040.7928328221	13039.8593442993	11174.5801466195	7898.31523204728	14025.154257953	6914.0587522155	15633.0383260209	15953.4329637385	9819.83055499608
Alistipes finegoldii	66.3770306194447	125.189353976887	77.9814781380356	0	0	0	0	60.5596393371035	92.4428942913613	60.2135751967057
Alistipes ihumii	147.925953951905	68.6522263744218	372.954895442779	144.126883262701	78.8954906641792	62.3617352510137	68.6342691432296	102.85526046143	134.645085163505	72.2562902360468
Alistipes sp. dk3624	25.2864878550266	22.614851040986	13.5619961979192	25.8910568735391	0	16.2140511652636	0	15.3802258633914	20.0962813676872	0
Alkalibacter rhizosphaerae	1730.22793148019	2213.02470901077	2626.50659699703	5191.15690314459	50.0923750248757	1772.32051583381	570.452040256023	720.948087346471	1046.01144518812	1493.2966648783
Allochromatium tepidum	0	0	0	0	15.0277125074627	19.9557552803244	36.0048625013663	24.992867028011	12.0577688206123	12.0427150393411
Altericista sp. CCNU0014	454.524619194102	369.10667591895	606.899329856886	579.096638738157	702.545559723882	271.89716569442	412.930766812545	350.861402508616	529.537014038559	646.292373777974
Amedibacterium intestinale	494.982999762145	398.99058622311	588.81666825966	590.316096716691	681.25630033831	184.590736343001	428.682894156893	278.766593773969	446.137446362657	613.174907419786
Aminipila terrae	381.825966610901	792.327459685974	587.686501909834	535.081842053141	509.68991587811	1449.28672723356	1206.16289379577	1100.64741334895	1428.84560524256	805.858348049244
Ammonifex degensii	15.1718927130159	8.88440576610165	0	0	0	19.9557552803244	13.5018234380124	9.61264116461961	0	0
Amylolactobacillus amylophilus	27.8151366405292	9.69207901756543	15.8223288975724	22.4389159570672	33.8123531417911	0	0	0	15.0722110257654	30.1067875983528
Anaerobutyricum hallii	2484.39743175636	2528.82495033311	788.856112178969	844.048454077374	1496.50970386816	3767.89604386625	953.00370433304	889.169307727314	1362.52787672919	1108.933343206
Anaerocolumna chitinilytica	16.4362171057673	0	29.3843250954917	0	50.0923750248757	0	24.7533429696894	46.1406775901741	0	0
Anaerocolumna sedimenticola	17954.0385392652	36351.7577018821	12221.6189070249	26351.054650659	18343.8277341095	12065.7485363661	8966.33591479338	7734.33108105294	10806.7753054738	12386.935977549
Anaerocolumna sp. AGMB13020	137.811358809895	304.492815801847	490.492195824746	113.057615014454	36.3169718930349	32.4281023305271	75.3851808622358	66.3272240358753	17.0818391625342	14.0498342125647
Anaerocolumna sp. MB42-C2	9295.31293550776	10171.0292556835	9201.8144202882	4852.84709333034	2954.19781709205	2597.98989055723	3633.1156567785	3668.18386841884	1329.36901247251	1451.14716224061
Anaeromicropila herbilytica	0	14.5381185263482	0	14.6715988950055	0	0	32.6294066418632	36.5280364255545	14.0673969573811	20.0711917322352
Anaeropeptidivorans aminofermentans	2459.11094390133	3989.09818897964	8940.74599347826	2863.55089021342	6354.21777190548	5795.89967422922	3681.49719076471	4814.0106952415	3575.12845531156	960.406524387455
Anaerostipes caccae	44.8835159426721	89.6517309124803	123.1881321311	49.1930080597243	23.793878136816	64.8562046610543	112.51519531677	92.2813551803483	48.2310752824494	20.0711917322352
Anaerostipes hadrus	12920.1309695258	15225.4484633438	41168.5696251337	4371.27343548252	58616.8449447339	8504.89345353325	5755.15224045278	5421.52961684546	5336.56751718935	5547.67739478981
Anaerostipes rhamnosivorans	87.2383830998416	31.4992568070877	56.5083174913302	18.1237398114774	85.1570375422887	32.4281023305271	22.503039063354	25.9541311444729	33.1588642566839	36.1281451180234
Anaerostipes sp. PC18	2157.56957623014	1380.31358675161	1521.20390686661	841.45934839002	1028.14599738557	2539.36985942128	4557.99056228234	4414.12482279332	3739.9179625266	1571.57431263402
Anaerotruncus colihominis	5580.72786960436	44095.7288369169	4802.07682041324	25710.6825106534	12211.2687216891	22354.1876180784	12770.4746684534	12373.3917070984	13429.340023957	37153.7830155406
Aristaeella lactis	284.472988369049	268.147519485977	160.483621675378	267.540921026571	189.098715718906	506.377290238232	281.287988291924	298.95314021967	319.530873746227	241.857860373434
Arthrobacter sp. StoSoilB13	67.0091928158204	76.7289588890597	0	51.7821137470782	78.8954906641792	108.509419336764	95.6379160192543	90.3588269474243	94.45252242813	66.2349327163762
Bacillus altitudinis	106.203248991112	111.458908702003	110.756302283007	156.209376470352	105.193987552239	48.6421534957907	59.633053517888	62.4821675700275	95.4573364965144	104.370197007623
Bacillus amyloliquefaciens	2474.28283661435	4474.50981310938	1361.85045154106	2381.9772323656	2875.30232642787	4500.02281571315	4750.39154627402	4513.13502678891	3488.71444543051	2886.23737109542
Bacillus anthracis	1297.82898915924	1315.69972663451	603.508830807406	1169.41273545485	1591.68521641543	1186.12020447428	1050.89192425863	981.450662907662	1543.39440903838	1693.00502261404
Bacillus aquiflavi	10.1145951420106	19.3841580351309	12.4318298480926	13.8085636658875	40.0739000199006	0	15.7521273443478	10.5739052810816	16.0770250941498	40.1423834644704
Bacillus carboniphilus	71.43432819045	93.6900971697992	30.5144914453183	40.5626557685446	110.203225054727	68.5979087761151	124.891866801614	92.2813551803483	59.2840300346774	65.2313731297645
Bacillus cereus	6992.97821630759	6661.68897807331	6856.719244398	7882.96378276353	7456.25002245275	3376.26434648988	5039.55559823812	4104.59777729257	5576.71807953321	8652.6907557666
Bacillus halotolerans	39.8262183716668	52.4987613451461	42.9463212934109	47.4669376014883	71.3816344104479	41.1587452656691	51.7569898457141	47.1019417066361	41.1973768037588	56.1993368502586
Bacillus licheniformis	26.5508122477779	71.882919380277	25.9938260460119	25.0280216444211	52.5969937761195	56.1255617259124	96.763067972422	97.0876757626581	33.1588642566839	34.1210259447999
Bacillus mycoides	44.2513537462965	42.8066823275807	27.1239923958385	46.6039023723703	58.858540654229	44.9004493807299	43.8809261735402	31.7217158432447	51.2455174876025	46.163740984141
Bacillus paralicheniformis	17.0683793021429	21.8071777895222	0	32.7953387064828	50.0923750248757	0	0	0	11.052954752228	23.0818704920705
Bacillus paranthracis	53.1016244955558	60.575493859784	15.8223288975724	53.5081842053141	56.3539219029852	52.3838576108515	41.6306222672048	35.5667723090926	41.1973768037588	48.1708601573645
Bacillus pseudomycoides	154.247575915662	146.996531766409	136.750128329019	193.319891322425	229.172615738806	78.5757864162773	159.771577349813	124.003071023593	170.818391625342	232.825824093929
Bacillus pumilus	48.6764891209261	96.9207901756543	223.772937265667	138.948671887993	93.923203171642	17.4612858702838	92.2624601597512	180.717653894849	175.842461967263	58.2064560234821
Bacillus safensis	117.582168525873	109.035888947611	57.6384838411568	94.0708399738587	185.34178759204	124.723470502027	128.267322661118	115.351693975435	145.698039915733	138.491222952423
Bacillus sp. Cs-700	144.765142970027	180.111135076424	232.81426806428	201.950243613605	207.883356353234	155.904338127534	238.532214071552	181.678918011311	175.842461967263	185.658523523176
Bacillus sp. KH172YL63	6.9537841601323	10.4997522690292	0	9.49338752029766	0	13.719581755223	0	10.5739052810816	0	27.0961088385175
Bacillus sp. NSP9.1	0	15.3457917778119	0	128.592249138577	21.2892593855722	0	14.6269753911801	0	0	96.3417203147291
Bacillus sp. OxB-1	11.3789195347619	12.1150987719568	0	0	0	18.7085205753041	14.6269753911801	9.61264116461961	0	0
Bacillus sp. T3	132.121899042514	92.8824239183354	154.832789926245	148.442059408291	157.790981328358	71.0923781861557	85.511548440745	65.3659599194133	115.553617864202	123.437829153247
Bacillus sp. ZY-1-1	806.638962575347	1227.66334222496	478.060365976653	804.348833537947	1243.54320999254	845.625130003746	1311.92717739354	1207.34773027622	1227.88279156569	937.324653895385
Bacillus subtilis	169.419468628678	217.264104643759	126.57863118058	218.347912966846	261.732659504976	137.19581755223	128.267322661118	146.112145702218	161.775065009882	204.726155668799
Bacillus thuringiensis	1495.69575662482	1837.45664708011	1398.01577473551	1812.37398114774	2350.58469804229	775.779986522611	1142.02923246521	804.578065478661	1585.59659991052	2012.13697115658
Bacillus toyonensis	36.6654073897885	96.1131169241906	0	112.194579785336	0	62.3617352510137	0	11.5351693975435	18.0866532309185	0
Bacillus vallismortis	11.3789195347619	12.1150987719568	0	17.2607045823594	26.2984968880598	0	0	0	0	11.0391554527294
Bacillus velezensis	1032.32086668146	1310.85368712573	854.405760468912	1184.08433434985	1718.16846335324	843.130660593706	1145.40468832472	984.334455257048	1251.99832920692	1366.84815696522
Bacteroides caecimuris	6062.43546324262	2650.78361130415	5289.1785171885	5663.23717347211	4231.55338022638	8129.47580732215	3103.16908683651	9270.43113915915	11673.9298464895	4838.1607670553
Bacteroides eggerthii	82.1810855288363	36.3452963158704	113.01663498266	61.2755012673758	41.3262093955225	51.1366229058313	22.503039063354	43.2568852407882	59.2840300346774	27.0961088385175
Bacteroides fragilis	299.012718885689	136.49677949738	307.405247152836	248.554145985975	175.323312587065	344.236778585596	136.143386333291	320.100950781833	447.142260431041	178.633606416893
Bacteroides graminisolvens	694.114091620479	415.144051252386	1112.08368822938	676.619619628488	331.861984539802	881.794936449334	207.027959382856	514.276302307149	761.649063835347	348.235176554281
Bacteroides helcogenes	250.336229764763	102.574502935901	431.723545633762	138.085636658875	141.510959445274	163.387746357656	61.8833574242234	143.228353352832	262.256471848319	116.412912046964
Bacteroides ovatus	5154.65054924716	1899.64748744283	5645.18091738388	4751.00893629442	2487.08641998508	3873.91099379297	1333.30506450372	2864.56706705664	2857.69121048513	1144.05792873741
Bacteroides sp. PHL 2737	6984.12794555833	2969.00687238088	8258.12551818299	3919.90601065382	0	0	3480.09499114769	4706.34911419776	3136.02470742759	0
Bacteroides thetaiotaomicron	2989.49502666051	830.288102504772	4624.64070349046	1731.24866961065	3294.8259672612	2973.40753676833	814.610014093413	1785.06746426986	2539.16515080728	877.111078698679
Bacteroides uniformis	89.1348696889686	32.3069300585515	102.845137834221	66.4537126420836	58.858540654229	38.6642758556285	22.503039063354	50.9469981724839	35.1684923934527	0
