CV0014f6wAdg_smRNA	GF0009f6wAdg_smRNA	CV0013f6wAdg_smRNA	GF0008f6wAdg_smRNA	GF0007f6wAdg_smRNA	CV0012f6wAdg_smRNA
Retroposon:L1-dep:RMER1B:RMER1B_copy2646	3.46183590797277	2.19638390594782	3.10164563543469	2.79684426936078	3.24652787496519	2.0694241982537
Retroposon:L1-dep:RMER1C:RMER1C_copy2138	3.77903910343848	3.49172355658785	3.84423054082988	4.12754076955438	4.47018360709196	3.78064726679394
LTR:ERVL:MT2B1:MT2B1_copy7595	5.1245393392255	2.50822655473474	3.55937691897981	2.98027210086046	2.67491882325343	2.80169300586865
LTR:ERVL:MLT2B2:MLT2B2_copy348	3.37388812391283	2.30737341090136	2.05466708144079	2.79684426936078	2.78442349130104	2.40304334049717
LTR:ERVL:MERVL_2A-int:MERVL_2A-int_copy3606	4.19197715228418	3.74548906828701	2.81954763379352	3.91683629827537	3.61418158534249	2.80169300586865
LTR:ERVL:RMER15:RMER15_copy3530	4.06005563403227	3.0681230799712	3.6584899567759	2.98027210086046	3.3260306840919	3.48043225538634
LTR:LTR:LTR90A:LTR90A_copy88	9.36802553419014	8.56385294998836	8.55225496297011	6.65670289279674	7.56578026190951	8.88521802735669
LTR:Gypsy:MamGypLTR4:MamGypLTR4_copy67	5.41673474692758	3.64771186755269	4.77155001993732	2.98027210086046	3.47550546377422	3.2203989901356
LTR:LTR:MamRep605b:MamRep605b_copy139	5.33789177548423	2.99851519769395	3.93243266488854	3.74868321173168	4.20915683561382	4.23568531098534
LTR:LTR:RLTR4_MM-int:RLTR4_MM-int_copy10094	5.03209375562201	3.59706796695897	0.418205850561778	3.50371864958852	0.418205850561778	3.48043225538634
LTR:LTR:RLTR4_MM-int:RLTR4_MM-int_copy10095	7.23880828673603	5.6981797193211	1.39954555602089	3.36878697710598	0.418205850561778	6.13837665065655
LTR:ERVL-MaLR:ORR1F:ORR1F_copy12983	7.60039616618038	4.95381998778374	7.654492360112	4.22823009708661	4.93025366999299	6.80368630080139
LTR:ERVL-MaLR:ORR1F:ORR1F_copy148	3.46183590797277	2.50822655473474	2.48153724798931	2.22681466435966	3.68006063586773	3.2203989901356
LTR:ERVL:LTR80B:LTR80B_copy45	7.41823279802317	6.08913895927214	6.72399775834327	5.34804714312425	5.44313854193426	6.65992686067576
LTR:ERVL-MaLR:ORR1G:ORR1G_copy7524	5.07885210018663	5.01572912173225	5.24539729425401	3.86190885366872	4.84496099811741	4.98398047407167
LTR:LTR:RLTR4_MM-int:RLTR4_MM-int_copy3496	3.62654411141381	1.79477958773699	3.55937691897981	0.418205850561778	3.98508748460994	4.04834764947928
LTR:LTR:RLTR4_MM-int:RLTR4_MM-int_copy12258	3.92279356470137	3.54510315954913	3.55937691897981	0.418205850561778	5.12950375481612	4.84117669766937
LTR:LTR:RLTR4_MM-int:RLTR4_MM-int_copy1909	4.38093667010449	2.50822655473474	2.81954763379352	0.418205850561778	0.418205850561778	2.91631307954766
LTR:LTR:RLTR4_MM-int:RLTR4_MM-int_copy9526	1.30194360442519	3.97470850339877	3.3446073866702	0.418205850561778	4.88801981535311	3.31119309655702
LTR:LTR:RLTR4_MM-int:RLTR4_MM-int_copy9527	2.28770693738066	4.38965903206068	0.418205850561778	3.06509286160586	4.93025366999299	3.70946673086429
LTR:LTR:RLTR4_MM-int:RLTR4_MM-int_copy7780	2.97236985848374	1.12762371208415	3.75313729885147	0.418205850561778	3.98508748460994	0.418205850561778
LTR:LTR:RLTR4_MM-int:RLTR4_MM-int_copy5858	3.37388812391283	3.0681230799712	0.418205850561778	2.08296735175495	2.9843267285556	2.40304334049717
LTR:LTR:RLTR4_MM-int:RLTR4_MM-int_copy6082	3.37388812391283	3.0681230799712	0.418205850561778	2.08296735175495	2.9843267285556	2.40304334049717
LTR:ERVL-MaLR:MTD:MTD_copy45916	7.53967603189367	6.5210499893221	7.41015993086895	6.68393112976077	6.74398951350149	7.06407372831587
LTR:ERVL-MaLR:MTD:MTD_copy20501	5.41673474692758	3.97470850339877	4.9621022752454	4.07608838026545	4.47018360709196	4.74067420578323
LTR:ERVL-MaLR:MTD:MTD_copy27445	3.54591875565347	2.30737341090136	2.65880887523993	3.29750140052859	3.076143428874	3.12478292740775
LTR:ERVL-MaLR:MTD:MTD_copy34857	6.6419051426557	4.75677749920654	5.969194096711	4.51358668490978	4.88801981535311	4.74067420578323
LTR:ERVL-MaLR:MTE-int:MTE-int_copy2522	4.78138699349101	3.43682562064102	4.18341235766139	2.98027210086046	2.43252268837871	3.70946673086429
LTR:ERVL-MaLR:MTE2a:MTE2a_copy3621	4.55958295193884	4.68721580497717	4.34116117341491	5.04534201229496	3.5460689874897	4.29596477246243
LTR:ERVL-MaLR:MTE2a:MTE2a_copy4252	3.92279356470137	2.07598800912279	3.6584899567759	2.22681466435966	2.88732368420233	3.31119309655702
LTR:ERVL-MaLR:MTE2a:MTE2a_copy6126	4.88513887973288	3.64771186755269	2.65880887523993	0.418205850561778	0.418205850561778	3.63597360307816
LTR:ERVL-MaLR:MTB:MTB_copy6957	5.70064274822915	4.61569463529077	5.89832397414251	5.08142119797249	5.47484286605128	5.36010084046417
LTR:ERVL-MaLR:MLT1K:MLT1K_copy1439	4.78138699349101	3.38029471254242	3.84423054082988	2.79684426936078	3.47550546377422	3.31119309655702
LTR:ERVL-MaLR:ORR1B1:ORR1B1_copy7845	3.54591875565347	2.50822655473474	2.28322255316214	2.69713006840529	3.3260306840919	3.39771587885233
LTR:ERVL-MaLR:ORR1B2:ORR1B2_copy7089	3.28159612441724	3.19955495009893	3.10164563543469	1.73492006444793	1.78685074985316	3.02368637597488
LTR:ERVL-MaLR:ORR1B1-int:ORR1B1-int_copy61096	4.78138699349101	3.2618098756688	3.22721511511269	3.36878697710598	3.47550546377422	3.9835626789764
LTR:ERVL-MaLR:ORR1B1:ORR1B1_copy19114	2.85571224554728	2.77087069588388	2.05466708144079	3.62985664373911	4.04249247039965	2.0694241982537
LTR:ERVL-MaLR:ORR1D1:ORR1D1_copy21354	5.33789177548423	4.65169894389726	4.70437465202924	4.46774344830531	4.15448086305886	4.23568531098534
LTR:ERVL-MaLR:ORR1D2:ORR1D2_copy11053	7.92594765255155	7.31106669782679	7.39780608152307	6.71063162012085	7.07711253873013	7.24852850108292
LTR:ERVL-MaLR:ORR1D1:ORR1D1_copy8250	7.13215122731241	5.65576717283462	6.63725535585751	5.85582966797427	5.53656935288211	7.17114037625309
LTR:ERVL-MaLR:ORR1A2:ORR1A2_copy3713	3.62654411141381	1.94350553454841	3.84423054082988	2.47854691961109	3.3260306840919	2.67879462370469
LTR:ERVL-MaLR:ORR1A2:ORR1A2_copy1431	14.4599153028111	13.9938184366509	14.2620220642541	5.28487206314987	14.1175048179846	14.0715523736619
LTR:ERVL-MaLR:MTEa:MTEa_copy5777	5.16918286075099	5.75987035700558	4.77155001993732	0.418205850561778	5.5961611913025	4.5818121126174
LTR:ERVL-MaLR:MTEa:MTEa_copy4869	7.63378830745563	7.03613988051953	7.07314628548107	6.71063162012085	6.81236474990785	7.02627947839911
LTR:ERVL-MaLR:MTEb:MTEb_copy552	4.55958295193884	3.13505996702068	3.75313729885147	4.64693420452447	3.80625162591928	3.39771587885233
LTR:ERVL-MaLR:MTEb:MTEb_copy3741	5.1245393392255	2.85020215419197	4.90038637478003	3.36878697710598	3.68006063586773	4.68880081127265
LTR:ERVL-MaLR:MTEb:MTEb_copy6325	6.71186275632236	4.54224143272545	5.08032855412739	3.74868321173168	4.2629933264152	5.43425693903389
LTR:ERVL-MaLR:ORR1B1-int:ORR1B1-int_copy156	6.18102300944155	7.30419414965371	5.29736398171779	4.07608838026545	7.6089986091225	5.50541521178712
LTR:ERVL-MaLR:ORR1A2:ORR1A2_copy5765	8.52396363211702	8.11798038882628	8.1887273157719	7.52668015627922	8.07110920466819	7.90556035252702
LTR:ERVL-MaLR:ORR1A3:ORR1A3_copy1806	10.0479750369866	6.27681579784358	9.17756098933422	9.25157419516766	9.86929978118989	8.78477428948243
LINE:L1:L1Lx_I:L1Lx_I_copy2755	0.418205850561778	5.04600180003245	4.49181636815257	3.22333180218566	4.20915683561382	0.418205850561778
LTR:ERVK:MLTR18B_MM:MLTR18B_MM_copy238	0.418205850561778	4.50480065270874	6.42002112047986	0.418205850561778	0.418205850561778	5.9615118770666
LTR:ERVK:MLTR18D_MM:MLTR18D_MM_copy487	0.418205850561778	4.79082348645794	4.10178444010331	3.74868321173168	3.92665028721388	3.39771587885233
LINE:L1:L1MdF_I:L1MdF_I_copy496	0.418205850561778	6.3903531544187	5.39704877153063	0.418205850561778	6.12076849828792	4.04834764947928
LINE:L1:L1MdF_V:L1MdF_V_copy10656	0.418205850561778	6.3903531544187	5.39704877153063	0.418205850561778	6.12076849828792	4.04834764947928
LINE:L1:L1MdFanc_I:L1MdFanc_I_copy6000	0.418205850561778	2.68768191245677	2.65880887523993	2.69713006840529	3.076143428874	1.61778495612013
SINE:Alu:PB1D10:PB1D10_copy44227	6.05354918301405	4.61569463529077	5.93412863137341	4.37399647955877	4.15448086305886	5.57376707605591
SINE:Alu:B1_Mus1:B1_Mus1_copy77323	10.2497295843599	9.93186536531257	10.0588855216463	11.8015417513665	9.95773398960886	9.85466826853076
SINE:Alu:B1_Mus1:B1_Mus1_copy82408	3.28159612441724	2.77087069588388	2.05466708144079	2.69713006840529	1.98026236436437	2.24569275358008
SINE:Alu:B1_Mur4:B1_Mur4_copy4293	6.94601383034306	5.89563698996099	7.18119126127353	5.15166672463038	5.53656935288211	6.8336575744195
SINE:Alu:B1_Mus2:B1_Mus2_copy24299	5.25545230567824	4.01853114907775	5.08032855412739	2.89104113185928	4.36820854504378	3.55973820430235
SINE:Alu:B1_Mus2:B1_Mus2_copy41973	5.49221174413021	5.24582618711503	4.83687979985169	4.51358668490978	4.71074480988982	4.74067420578323
SINE:B2:B3:B3_copy126836	3.99214560649985	1.62267403890801	3.45500954747059	2.79684426936078	3.74398653261783	3.84988630330228
SINE:B2:B3:B3_copy12124	3.62654411141381	2.92597490432729	3.84423054082988	1.73492006444793	2.78442349130104	3.02368637597488
SINE:B2:B2_Mm2:B2_Mm2_copy38370	3.08159119149372	2.92597490432729	2.48153724798931	2.69713006840529	2.55800350227669	1.86571727056466
SINE:B2:B2_Mm2:B2_Mm2_copy49164	4.12663963326895	3.19955495009893	3.93243266488854	3.86190885366872	4.31600735243281	3.02368637597488
SINE:B2:B2_Mm2:B2_Mm2_copy20308	4.38093667010449	2.92597490432729	3.6584899567759	2.47854691961109	3.40225098389783	2.40304334049717
SINE:Alu:B1_Mur1:B1_Mur1_copy2456	4.38093667010449	1.79477958773699	4.10178444010331	2.22681466435966	2.88732368420233	2.24569275358008
