baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SINE:B2:B3A:B3A_copy86599	204.646278633247	-10.5329292373091	2.90576729129384	-3.62483577706567	0.000289145127875473	0.0998019292841938
DNA:hAT-Tip100:Arthur1B:Arthur1B_copy379	12.2354845377966	7.77366959334512	2.1124753700969	3.67988649874224	0.000233337786926963	0.0954068396737646
LTR:LTR:RLTR4_MM-int:RLTR4_MM-int_copy776	52.2515861787789	6.94914562674948	1.45096149181845	4.78933842554312	1.67332068955234e-06	0.00513274388313285
Slc38a10:NM_001164798.1:exon_16,Slc38a10:NM_001164799.1:exon_15,Slc38a10:NM_001164800.1:exon_15,Slc38a10:NM_001164801.1:exon_10,Slc38a10:NM_001164802.1:exon_10,Slc38a10:NM_001361696.1:exon_16,Slc38a10:NM_001361697.1:exon_15,Slc38a10:NM_001361698.1:exon_15,Slc38a10:NM_001361699.1:exon_16,Slc38a10:NM_024249.5:exon_16	14.1400135568016	7.99263886389104	2.06268530346928	3.87487070880275	0.000106681325552896	0.0629296726924913
Rpl3:NM_013762.2:exon_0	20.4145766124005	-7.2063753564457	1.90529933567823	-3.78227988720757	0.00015539848932488	0.07447958221174
P2rx4:NM_001310718.1:exon_10,P2rx4:NM_001310720.1:exon_10,P2rx4:NM_011026.3:exon_11	18.6709950731806	-7.07854512145702	1.95455456094118	-3.62156435175106	0.000292826942543439	0.0998019292841938
Tnks1bp1:NM_001081260.2:exon_4	19.1239580530277	-7.11140607322083	1.64611002697911	-4.32012803316159	1.55938699682145e-05	0.0197409683610235
Wipf1:NM_001289722.1:exon_3,Wipf1:NM_001289723.1:exon_3,Wipf1:NM_153138.4:exon_3	13.4948566459507	-6.60825606519737	1.81382292823695	-3.64327518542323	0.000269190773993703	0.0972902975196168
Zfp970:NM_001177568.1:exon_3	20.8520013756522	-6.08240449086875	1.5026963122392	-4.04766048956707	5.1732110143757e-05	0.0417587038565685
Brd4:NM_001286630.1:exon_0,Brd4:NM_020508.4:exon_0	16.9973861969001	7.60090907127405	1.93572524405397	3.92664666363267	8.61383763949694e-05	0.0550460116154019
Cpxm2:NM_018867.5:exon_13	22.3747539569069	-7.33841643608095	1.85355266846764	-3.95910866786845	7.52300033519759e-05	0.0524455709731479
Ces5a:NM_001003951.3:exon_3,Ces5a:NM_001381850.1:exon_3	23.5281007412865	-7.41345148768381	1.81084608751891	-4.09391584341725	4.24148313475698e-05	0.0382656628457458
Mir10a:NR_029784.1:exon_0	298.078918584493	5.53552141695244	1.122803471244	4.93008933328236	8.21920230104909e-07	0.00315144764227975
ND4L:NP_904336.1:exon_0	595.524469012202	3.6951137743594	0.970815928516614	3.80619401249983	0.00014112169571776	0.0725579781141135
Crat:NM_007760.3:exon_0	20.0343238193241	8.47020819785468	1.86740010471632	4.5358293471561	5.73775621880787e-06	0.012571423875408
Ppip5k2:NM_173760.5:exon_0	18.8673824084709	8.35654418227482	2.20102468403523	3.79666082024778	0.000146658233131481	0.0725579781141135
Fance:NM_001163819.1:exon_0,Fance:NM_001163820.1:exon_0,Fance:NR_028296.1:exon_0,Fance:NR_028297.1:exon_0	27.578230068245	5.71025198353972	1.44695149090078	3.94640181059898	7.93344343055536e-05	0.0529022703888815
Katnal1:NM_153572.2:exon_0	10.1541643846458	7.52891393876349	2.06845407987451	3.63987482826801	0.00027277060659474	0.0972902975196168
Lcn2:NM_008491.1:exon_0	14.9506917879503	8.07612688426996	2.20450603050835	3.66346327590115	0.00024882790551937	0.0954068396737646
Eif3b:NM_133916.2:exon_0	16.2157107896876	8.19940757344179	1.89047638817806	4.33721765831943	1.44297714067535e-05	0.0197409683610235
Tprgl:NM_026388.2:exon_0,Tprgl:NR_151647.1:exon_0	22.110195517412	8.58731804166598	1.91040153088267	4.4950330612949	6.95591387454556e-06	0.0133353563867381
Hsp90aa1:NM_010480.5:exon_2	18.1446335317141	8.30055272313371	1.9574786709231	4.24043073696397	2.2309126828577e-05	0.022810338544659
Hoxa10:NM_001122950.2:exon_0,Hoxa10:NM_008263.3:exon_0	11.2780467060849	7.67909153793968	2.06066156743402	3.72651757052073	0.00019414354432997	0.087241878163348
Aplp2:NM_001102455.2:exon_4,Aplp2:NM_001102456.2:exon_5,Aplp2:NM_001357698.1:exon_5,Aplp2:NM_009691.3:exon_4	10.3571314817478	7.55723651398092	2.07195349526505	3.64739678339845	0.000264910674091775	0.0972902975196168
C2cd2l:NM_001359259.1:exon_0,C2cd2l:NM_027909.2:exon_0	18.508593940555	8.35312590856983	1.94053619185824	4.30454528166823	1.6732906611026e-05	0.0197409683610235
mmu-mir-192	28.93677178422	9.02886365405732	1.70351713322141	5.30013081640301	1.15719736657109e-07	0.000887396800555038
Spata3:NM_001122732.2:intron_1,Spata3:NM_001379365.1:intron_1,Spata3:NM_027300.4:intron_1,Spata3:NM_028647.5:intron_1	13.0579307149832	7.84002660341132	2.06253733212145	3.80115621730219	0.000144022460742992	0.0725579781141135
Spns2:NM_153060.3:intron_11	17.3447519487904	8.21589122074466	1.7387647553803	4.72513098469589	2.29967077748979e-06	0.00587834178572681
