GF_11w166Spm_smRNA	GF_11w167Spm_smRNA	GF_11w168Spm_smRNA	GF_11w169Spm_smRNA	GF_11w170Spm_smRNA	CTRGF_11w172Spm_smRNA	CTRGF_11w173Spm_smRNA	CTRGF_11w174Spm_smRNA	CTRGF_11w176Spm_smRNA	CTRGF_11w177Spm_smRNA
LTR:ERVL-MaLR:ORR1D2:ORR1D2_copy8351	0	12.6609352385556	0	0	8.26433341517813	0	0	26.1228301395977	0	8.31518919866627
LTR:ERVL-MaLR:ORR1F:ORR1F_copy15653	0	90.2091635747085	82.2293677824988	12.9797724400861	39.2555837220961	8.88546407007642	0	24.1438278562948	4.25081419247042	13.5121824478327
LTR:ERVK:IAPLTR3-int:IAPLTR3-int_copy105	0	98.9135565512155	0	1.99688806770556	0	0	0	37.9968438394148	0	16.6303783973325
LTR:ERVL-MaLR:ORR1D1:ORR1D1_copy11113	0	9.49570142891669	0	0	13.4295417996645	0	0	19.7900228330285	0	21.827371646499
LTR:ERVK:RLTR16B_MM:RLTR16B_MM_copy734	0	90.2091635747085	20.5573419456247	0	81.6102924748841	29.025849295583	0	0	0	0
LTR:ERVK:RLTR43C:RLTR43C_copy154	0	16.6174775006042	113.065380700936	1.99688806770556	0	7.70073552739956	0	5.14540593658742	0	17.1500777222492
LTR:ERVK:MMTV-int:MMTV-int_copy10	6.37111460304059	0	0	9.98444033852778	0	4.73891417070742	0	5.14540593658742	3.18811064435282	7.79548987374963
LTR:ERVK:RLTR13D6:RLTR13D6_copy77	0	19.7827113102431	10.2786709728123	0	12.3965001227672	4.14654989936899	0	0	0	7.27579054883299
LTR:ERVL:MT2B1:MT2B1_copy7055	0	11.8696267861459	71.9506968096864	0	19.6277918610481	23.1022065821987	0	16.623619179744	0	0
LINE:L1:Lx10:Lx10_copy7972	0	23.7392535722917	113.065380700936	21.9657687447611	35.1234170145071	37.3189490943209	0	20.9774242030103	0	54.5684291162474
LTR:ERVL:MT2C_Mm:MT2C_Mm_copy1255	0	26.1131789295209	123.344051673748	0	35.1234170145071	0	0	1.97900228330285	0	0
